gcid                 end                  start                valid                duration             blocknum            
0                    27827960000.0        27825060000          0.0                  2900000.0            75                  
1                    27829460000.0        27825060000          0.0                  4400000.0            126                 
2                    27830960000.0        27825060000          0.0                  5900000.0            158                 
3                    27832460000.0        27825060000          0.0                  7400000.0            203                 
4                    27833960000.0        27825060000          0.0                  8900000.0            236                 
5                    27835460000.0        27825060000          0.0                  10400000.0           254                 
6                    27836960000.0        27825060000          0.0                  11900000.0           256                 
7                    27838460000.0        27825060000          0.0                  13400000.0           330                 
8                    27838460000.0        27836960000.0        0.0                  1500000.0            607                 
9                    27839960000.0        27827960000.0        0.0                  12000000.0           332                 
10                   27839960000.0        27838460000.0        0.0                  1500000.0            674                 
11                   27841460000.0        27829460000.0        0.0                  12000000.0           408                 
12                   27842960000.0        27830960000.0        0.0                  12000000.0           421                 
13                   27844460000.0        27832460000.0        0.0                  12000000.0           425                 
14                   27845960000.0        27833960000.0        0.0                  12000000.0           442                 
15                   27847460000.0        27835460000.0        0.0                  12000000.0           466                 
16                   27848960000.0        27847460000.0        0.0                  1500000.0            688                 
17                   27850460000.0        27847460000.0        0.0                  3000000.0            748                 
18                   27851960000.0        27847460000.0        0.0                  4500000.0            764                 
19                   27853460000.0        27847460000.0        0.0                  6000000.0            812                 
20                   27854960000.0        27847460000.0        0.0                  7500000.0            815                 
21                   27854960000.0        27853460000.0        0.0                  1500000.0            1126                
22                   27856460000.0        27847460000.0        0.0                  9000000.0            822                 
23                   27856460000.0        27854960000.0        0.0                  1500000.0            1188                
24                   27857960000.0        27847460000.0        0.0                  10500000.0           831                 
25                   27857960000.0        27854960000.0        0.0                  3000000.0            1244                
26                   27859460000.0        27847460000.0        0.0                  12000000.0           863                 
27                   27859460000.0        27856460000.0        0.0                  3000000.0            1362                
28                   27860960000.0        27848960000.0        0.0                  12000000.0           932                 
29                   27860960000.0        27856460000.0        0.0                  4500000.0            1445                
30                   27862460000.0        27850460000.0        0.0                  12000000.0           933                 
31                   27863960000.0        27851960000.0        0.0                  12000000.0           937                 
32                   27865460000.0        27863960000.0        0.0                  1500000.0            1449                
33                   27865460000.0        27863960000.0        0.0                  1500000.0            1620                
34                   27866960000.0        27863960000.0        0.0                  3000000.0            1453                
35                   27866960000.0        27863960000.0        0.0                  3000000.0            1622                
36                   27868460000.0        27863960000.0        0.0                  4500000.0            1669                
37                   27869960000.0        27863960000.0        0.0                  6000000.0            1727                
