gcid                 end                  start                valid                duration             blocknum            
0                    26412360000.0        26410860000          0.0                  1500000.0            126                 
1                    26413860000.0        26410860000          0.0                  3000000.0            158                 
2                    26415360000.0        26410860000          0.0                  4500000.0            203                 
3                    26416860000.0        26410860000          0.0                  6000000.0            236                 
4                    26418360000.0        26410860000          0.0                  7500000.0            254                 
5                    26419860000.0        26410860000          0.0                  9000000.0            256                 
6                    26421360000.0        26410860000          0.0                  10500000.0           330                 
7                    26421360000.0        26419860000.0        0.0                  1500000.0            607                 
8                    26422860000.0        26410860000          0.0                  12000000.0           332                 
9                    26422860000.0        26421360000.0        0.0                  1500000.0            674                 
10                   26424360000.0        26412360000.0        0.0                  12000000.0           408                 
11                   26424360000.0        26421360000.0        0.0                  3000000.0            688                 
12                   26425860000.0        26413860000.0        0.0                  12000000.0           421                 
13                   26427360000.0        26415360000.0        0.0                  12000000.0           425                 
14                   26428860000.0        26416860000.0        0.0                  12000000.0           442                 
15                   26430360000.0        26418360000.0        0.0                  12000000.0           466                 
16                   26431860000.0        26430360000.0        0.0                  1500000.0            748                 
17                   26433360000.0        26430360000.0        0.0                  3000000.0            764                 
18                   26434860000.0        26430360000.0        0.0                  4500000.0            812                 
19                   26436360000.0        26430360000.0        0.0                  6000000.0            815                 
20                   26436360000.0        26434860000.0        0.0                  1500000.0            1126                
21                   26437860000.0        26430360000.0        0.0                  7500000.0            822                 
22                   26437860000.0        26436360000.0        0.0                  1500000.0            1188                
23                   26439360000.0        26430360000.0        0.0                  9000000.0            831                 
24                   26439360000.0        26436360000.0        0.0                  3000000.0            1244                
25                   26440860000.0        26430360000.0        0.0                  10500000.0           863                 
26                   26440860000.0        26437860000.0        0.0                  3000000.0            1362                
27                   26442360000.0        26430360000.0        0.0                  12000000.0           932                 
28                   26442360000.0        26437860000.0        0.0                  4500000.0            1445                
29                   26443860000.0        26431860000.0        0.0                  12000000.0           933                 
30                   26443860000.0        26439360000.0        0.0                  4500000.0            1449                
31                   26445360000.0        26433360000.0        0.0                  12000000.0           937                 
32                   26446860000.0        26445360000.0        0.0                  1500000.0            1453                
33                   26446860000.0        26445360000.0        0.0                  1500000.0            1669                
34                   26448360000.0        26445360000.0        0.0                  3000000.0            1727                
35                   26449860000.0        26445360000.0        0.0                  4500000.0            1741                
36                   26451360000.0        26445360000.0        0.0                  6000000.0            1775                
37                   26452860000.0        26445360000.0        0.0                  7500000.0            1790                
38                   26452860000.0        26451360000.0        0.0                  1500000.0            2222                
39                   26454360000.0        26445360000.0        0.0                  9000000.0            1867                
40                   26454360000.0        26452860000.0        0.0                  1500000.0            2235                
41                   26455860000.0        26445360000.0        0.0                  10500000.0           1885                
42                   26455860000.0        26452860000.0        0.0                  3000000.0            2298                
43                   26457360000.0        26446860000.0        0.0                  10500000.0           1888                
44                   26457360000.0        26454360000.0        0.0                  3000000.0            2302                
45                   26458860000.0        26446860000.0        0.0                  12000000.0           1901                
46                   26460360000.0        26448360000.0        0.0                  12000000.0           1956                
47                   26461860000.0        26449860000.0        0.0                  12000000.0           1961                
48                   26463360000.0        26461860000.0        0.0                  1500000.0            2402                
49                   26463360000.0        26461860000.0        0.0                  1500000.0            2649                
50                   26464860000.0        26461860000.0        0.0                  3000000.0            2458                
51                   26464860000.0        26463360000.0        0.0                  1500000.0            2682                
52                   26466360000.0        26461860000.0        0.0                  4500000.0            2466                
53                   26466360000.0        26463360000.0        0.0                  3000000.0            2877                
54                   26467860000.0        26461860000.0        0.0                  6000000.0            2468                
55                   26467860000.0        26464860000.0        0.0                  3000000.0            2892                
56                   26469360000.0        26461860000.0        0.0                  7500000.0            2473                
57                   26469360000.0        26464860000.0        0.0                  4500000.0            2896                
58                   26469360000.0        26467860000.0        0.0                  1500000.0            3161                
59                   26470860000.0        26461860000.0        0.0                  9000000.0            2504                
60                   26470860000.0        26466360000.0        0.0                  4500000.0            2980                
61                   26470860000.0        26467860000.0        0.0                  3000000.0            3226                
62                   26472360000.0        26461860000.0        0.0                  10500000.0           2510                
63                   26472360000.0        26466360000.0        0.0                  6000000.0            2985                
64                   26473860000.0        26472360000.0        0.0                  1500000.0            3234                
65                   26475360000.0        26472360000.0        0.0                  3000000.0            3262                
66                   26475360000.0        26473860000.0        0.0                  1500000.0            3851                
67                   26476860000.0        26472360000.0        0.0                  4500000.0            3292                
68                   26476860000.0        26475360000.0        0.0                  1500000.0            3972                
69                   26478360000.0        26472360000.0        0.0                  6000000.0            3393                
70                   26478360000.0        26475360000.0        0.0                  3000000.0            3981                
71                   26479860000.0        26472360000.0        0.0                  7500000.0            3425                
72                   26479860000.0        26476860000.0        0.0                  3000000.0            4004                
73                   26481360000.0        26472360000.0        0.0                  9000000.0            3493                
74                   26481360000.0        26476860000.0        0.0                  4500000.0            4009                
75                   26481580000.0        26479860000.0        0.00390625           1720000.0            128                 
76                   26482860000.0        26472360000.0        0.0                  10500000.0           3497                
77                   26482860000.0        26478360000.0        0.0                  4500000.0            4027                
78                   26484360000.0        26472360000.0        0.0                  12000000.0           3526                
79                   26484360000.0        26478360000.0        0.0                  6000000.0            4038                
80                   26486140000.0        26484360000.0        0.00390625           1780000.0            686                 
81                   26486140000.0        26484360000.0        0.00390625           1780000.0            1198                
82                   26487640000.0        26484360000.0        0.00390625           3280000.0            786                 
83                   26487640000.0        26484360000.0        0.00390625           3280000.0            1399                
84                   26487860000.0        26486140000.0        0.00390625           1720000.0            1638                
85                   26489140000.0        26484360000.0        0.00390625           4780000.0            901                 
86                   26489140000.0        26484360000.0        0.00390625           4780000.0            1421                
87                   26489360000.0        26486140000.0        0.00390625           3220000.0            1696                
88                   26490640000.0        26484360000.0        0.00390625           6280000.0            914                 
89                   26490640000.0        26484360000.0        0.00390625           6280000.0            1444                
90                   26490880000.0        26489140000.0        0.00390625           1740000.0            2208                
