gcid                 end                  start                valid                duration             blocknum            
0                    6680580000.0         6679080000           0.0                  1500000.0            60                  
1                    6682080000.0         6679080000           0.0                  3000000.0            61                  
2                    6683580000.0         6679080000           0.0                  4500000.0            62                  
3                    6685080000.0         6679080000           0.0                  6000000.0            63                  
4                    6686580000.0         6679080000           0.0                  7500000.0            64                  
5                    6688080000.0         6679080000           0.0                  9000000.0            65                  
6                    6689580000.0         6679080000           0.0                  10500000.0           66                  
7                    6691080000.0         6679080000           0.0                  12000000.0           67                  
8                    6692580000.0         6680580000.0         0.0                  12000000.0           68                  
9                    6694080000.0         6682080000.0         0.0                  12000000.0           69                  
10                   6695580000.0         6683580000.0         0.0                  12000000.0           70                  
11                   6697080000.0         6685080000.0         0.0                  12000000.0           71                  
12                   6698580000.0         6686580000.0         0.0                  12000000.0           72                  
13                   6700080000.0         6688080000.0         0.0                  12000000.0           73                  
14                   6701580000.0         6689580000.0         0.0                  12000000.0           74                  
15                   6703080000.0         6691080000.0         0.0                  12000000.0           75                  
16                   6704580000.0         6703080000.0         0.0                  1500000.0            76                  
17                   6706080000.0         6703080000.0         0.0                  3000000.0            77                  
18                   6707580000.0         6703080000.0         0.0                  4500000.0            78                  
19                   6709080000.0         6703080000.0         0.0                  6000000.0            79                  
20                   6710580000.0         6703080000.0         0.0                  7500000.0            80                  
21                   6712080000.0         6703080000.0         0.0                  9000000.0            81                  
22                   6713580000.0         6703080000.0         0.0                  10500000.0           82                  
23                   6715080000.0         6703080000.0         0.0                  12000000.0           83                  
24                   6716580000.0         6704580000.0         0.0                  12000000.0           85                  
25                   6718080000.0         6706080000.0         0.0                  12000000.0           86                  
26                   6719580000.0         6707580000.0         0.0                  12000000.0           87                  
27                   6721080000.0         6709080000.0         0.0                  12000000.0           88                  
28                   6722580000.0         6710580000.0         0.0                  12000000.0           89                  
29                   6724080000.0         6712080000.0         0.0                  12000000.0           90                  
30                   6725580000.0         6713580000.0         0.0                  12000000.0           91                  
31                   6727080000.0         6715080000.0         0.0                  12000000.0           92                  
32                   6728580000.0         6727080000.0         0.0                  1500000.0            93                  
33                   6730080000.0         6727080000.0         0.0                  3000000.0            94                  
34                   6731580000.0         6727080000.0         0.0                  4500000.0            95                  
35                   6733080000.0         6727080000.0         0.0                  6000000.0            96                  
36                   6734580000.0         6727080000.0         0.0                  7500000.0            97                  
37                   6736080000.0         6727080000.0         0.0                  9000000.0            98                  
38                   6737580000.0         6727080000.0         0.0                  10500000.0           99                  
39                   6739080000.0         6727080000.0         0.0                  12000000.0           100                 
40                   6740580000.0         6728580000.0         0.0                  12000000.0           101                 
41                   6742080000.0         6730080000.0         0.0                  12000000.0           102                 
42                   6743580000.0         6731580000.0         0.0                  12000000.0           103                 
43                   6745080000.0         6733080000.0         0.0                  12000000.0           104                 
44                   6746580000.0         6734580000.0         0.0                  12000000.0           105                 
45                   6748080000.0         6736080000.0         0.0                  12000000.0           106                 
46                   6749580000.0         6737580000.0         0.0                  12000000.0           107                 
47                   6751080000.0         6739080000.0         0.0                  12000000.0           108                 
48                   6752580000.0         6751080000.0         0.0                  1500000.0            109                 
49                   6754080000.0         6751080000.0         0.0                  3000000.0            110                 
50                   6755580000.0         6751080000.0         0.0                  4500000.0            111                 
51                   6757080000.0         6751080000.0         0.0                  6000000.0            112                 
52                   6758580000.0         6751080000.0         0.0                  7500000.0            113                 
53                   6760080000.0         6751080000.0         0.0                  9000000.0            114                 
54                   6761580000.0         6751080000.0         0.0                  10500000.0           115                 
55                   6763080000.0         6751080000.0         0.0                  12000000.0           116                 
56                   6764580000.0         6752580000.0         0.0                  12000000.0           117                 
57                   6766080000.0         6754080000.0         0.0                  12000000.0           118                 
58                   6767580000.0         6755580000.0         0.0                  12000000.0           119                 
59                   6769080000.0         6757080000.0         0.0                  12000000.0           120                 
60                   6770580000.0         6758580000.0         0.0                  12000000.0           121                 
61                   6772080000.0         6760080000.0         0.0                  12000000.0           122                 
62                   6773580000.0         6761580000.0         0.0                  12000000.0           123                 
63                   6775080000.0         6763080000.0         0.0                  12000000.0           124                 
64                   6776580000.0         6775080000.0         0.0                  1500000.0            125                 
65                   6776580000.0         6775080000.0         0.0                  1500000.0            188                 
66                   6778080000.0         6775080000.0         0.0                  3000000.0            189                 
